,book_title,author,num_ratings,average_rating,5_star_reviews
2253,The Amityville Horror,Jay Anson,130821,3.83,43031
2254,Shanghai Girls,Lisa See,155217,3.91,42982
2255,Momo,Michael Ende,81104,4.33,42935
2256,A Song of Ice and Fire,George R.R. Martin,60660,4.60,42926
2257,Chain of Iron,Cassandra Clare,76770,4.43,42920
2258,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,125226,3.89,42839
2259,Ham on Rye,Charles Bukowski,106633,4.14,42784
2260,Truman,David McCullough,87824,4.16,42760
2261,The Bride Test,Helen Hoang,166037,3.83,42755
2262,Ptolemy's Gate,Jonathan Stroud,86630,4.27,42754
2263,Ubik,Philip K. Dick,108670,4.11,42697
2264,Monsters of Men,Patrick Ness,86216,4.22,42679
2265,Xenocide,Orson Scott Card,157875,3.81,42648
2266,Saving the World and Other Extreme Sports,James Patterson,94559,4.14,42627
2267,Holidays on Ice,David Sedaris,125627,3.89,42626
2268,Princess Academy,Shannon Hale,116935,4.03,42599
2269,Bitterblue,Kristin Cashore,118711,4.00,42590
2270,Magician: Apprentice,Raymond E. Feist,95993,4.17,42566
2271,The Walking Dead: Compendium One,Robert Kirkman,69691,4.44,42555
2272,Magic Burns,Ilona Andrews,88611,4.31,42526
2273,Acheron,Sherrilyn Kenyon,59887,4.56,42501
2274,Duma Key,Stephen King,124075,3.97,42471
2275,White Teeth,Zadie Smith,158262,3.79,42471
2276,Something Wicked This Way Comes,Ray Bradbury,133708,3.91,42447
2277,Tiamat's Wrath,James S.A. Corey,66113,4.57,42380
2278,The Ask and the Answer,Patrick Ness,96648,4.18,42364
2279,The Demigod Files,Rick Riordan,111940,4.03,42359
2280,River Marked,Patricia Briggs,89015,4.28,42318
2281,Under the Never Sky,Veronica Rossi,114257,3.99,42285
2282,A Long Walk to Water,Linda Sue Park,88915,4.26,42269
2283,The Young Elites,Marie Lu,136392,3.87,42269
2284,Forever,Maggie Stiefvater,124114,3.89,42247
2285,Sam's Letters to Jennifer,James Patterson,92849,4.16,42231
2286,An Absolutely Remarkable Thing,Hank Green,116906,4.04,42216
2287,The Happiness Project,Gretchen Rubin,172968,3.65,42198
2288,The Innocent,David Baldacci,106562,4.17,42191
2289,The Sense of an Ending,Julian Barnes,179726,3.74,42185
2290,My Ántonia,Willa Cather,138390,3.83,42157
2291,Rule,Jay Crownover,100585,4.11,42143
2292,Liar's Poker,Michael   Lewis,101955,4.15,42117
2293,On the Come Up,Angie Thomas,96450,4.27,42089
2294,Infidel,Ayaan Hirsi Ali,90131,4.19,42087
2295,Bitten,Kelley Armstrong,102526,4.03,42027
2296,We Begin at the End,Chris  Whitaker,102024,4.15,41945
2297,Flipped,Wendelin Van Draanen,117794,3.98,41944
2298,Wild Magic,Tamora Pierce,80164,4.31,41909
2299,Impulse,Ellen Hopkins,78906,4.26,41895
2300,Prodigal Summer,Barbara Kingsolver,115048,4.03,41873
2301,Sophie’s Choice,William Styron,91219,4.17,41858
2302,Enchanters' End Game,David Eddings,92758,4.19,41837
2303,Edgedancer,Brandon Sanderson,103477,4.21,41836
2304,Old Yeller,Fred Gipson,98394,4.10,41832
2305,Beautiful Darkness,Kami Garcia,137277,3.83,41812
2306,Golden Fool,Robin Hobb,81286,4.36,41757
2307,The Penultimate Peril,Lemony Snicket,108048,4.08,41748
2308,Brideshead Revisited,Evelyn Waugh,114203,4.00,41747
2309,The Wright Brothers,David McCullough,92666,4.16,41729
2310,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,159570,3.71,41687
2311,Born at Midnight,C.C. Hunter,92211,4.10,41685
2312,In a Sunburned Country,Bill Bryson,112464,4.08,41665
2313,A Scandal in Bohemia,Ronald  Holt,88195,4.23,41640
2314,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,133890,3.75,41616
2315,Circus of the Damned,Laurell K. Hamilton,94773,4.17,41615
2316,90 Minutes in Heaven: A True Story of Death and Life,Don Piper,100442,3.98,41593
2317,In Defense of Food: An Eater's Manifesto,Michael Pollan,116238,4.07,41576
2318,Killing Lincoln: The Shocking Assassination that Changed America Forever,Bill O'Reilly,104604,4.05,41567
2319,Iron Gold,Pierce Brown,95974,4.24,41546
2320,Dealing with Dragons,Patricia C. Wrede,90908,4.16,41519
2321,Smoke Gets in Your Eyes & Other Lessons from the Crematory,Caitlin Doughty,92451,4.22,41510
2322,Ringworld,Larry Niven,122040,3.95,41437
2323,The Grim Grotto,Lemony Snicket,115604,4.02,41433
2324,Without Fail,Lee Child,106581,4.16,41407
2325,Seveneves,Neal Stephenson,115893,4.00,41406
2326,The Tenant of Wildfell Hall,Anne Brontë,116651,4.01,41406
2327,Best Served Cold,Joe Abercrombie,91922,4.23,41390
2328,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,115012,3.91,41364
2329,The Immortalists,Chloe Benjamin,206416,3.71,41361
2330,Little Town on the Prairie,Laura Ingalls Wilder,89398,4.20,41339
2331,Sadie,Courtney Summers,119095,4.05,41316
2332,Gardens of the Moon,Steven Erikson,120224,3.92,41275
2333,Rules of Attraction,Simone Elkeles,88066,4.18,41218
2334,The Man in the Brown Suit,Agatha Christie,112245,3.95,41213
2335,2nd Chance,James Patterson,113940,4.07,41212
2336,El Deafo,Cece Bell,84785,4.20,41208
2337,Witches Abroad,Terry Pratchett,89764,4.25,41185
2338,The Aeneid,Virgil,130838,3.86,41169
2339,Nightfall,Penelope Douglas,78121,4.29,41167
2340,Two Can Keep a Secret,Karen M. McManus,143848,3.93,41156
2341,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,106642,3.96,41130
2342,Rising Strong: The Reckoning. The Rumble. The Revolution.,Brené Brown,82768,4.25,41093
2343,The Caves of Steel,Isaac Asimov,101217,4.19,41089
2344,Devil in Winter,Lisa Kleypas,88793,4.22,41064
2345,Making Faces,Amy Harmon,75597,4.30,41050
2346,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,97824,4.01,41025
2347,Ishmael,Daniel Quinn,97803,4.01,41012
2348,Gregor the Overlander,Suzanne Collins,105841,4.03,40997
2349,Mother Night,Kurt Vonnegut Jr.,95337,4.23,40978
2350,Ten Big Ones,Janet Evanovich,103364,4.15,40968
2351,Aristotle and Dante Dive into the Waters of the World,Benjamin Alire Sáenz,92991,4.14,40952
2352,The Gunslinger Born,Peter David,80378,4.22,40920
2353,Ficciones,Jorge Luis Borges,68324,4.42,40898
2354,"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,98107,4.08,40897
2355,The Orphan Master's Son,Adam  Johnson,100389,4.06,40897
2356,Hidden Figures,Margot Lee Shetterly,108682,3.98,40835
2357,Magic Slays,Ilona Andrews,75468,4.40,40831
2358,The Fiery Heart,Richelle Mead,76995,4.34,40828
2359,Skeleton Crew,Stephen King,126138,3.97,40814
2360,House of Sand and Fog,Andre Dubus III,133171,3.86,40812
2361,House of Sand and Fog,Andre Dubus III,133165,3.86,40810
2362,The Girl Who Drank the Moon,Kelly Barnhill,99446,4.12,40761
2363,The Spy Who Came In from the Cold,John le Carré,110723,4.08,40761
2364,The Sympathizer,Viet Thanh Nguyen,115225,4.01,40740
2365,The Tower of Nero,Rick Riordan,66439,4.50,40723
2366,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,100908,4.14,40696
2367,A Stolen Life,Jaycee Dugard,120734,3.95,40673
2368,Running Blind,Lee Child,108942,4.12,40665
2369,Feet of Clay,Terry Pratchett,84771,4.32,40641
2370,A Canticle for Leibowitz,Walter M. Miller Jr.,109981,3.98,40637
2371,Relic,Douglas Preston,108600,4.05,40610
2372,Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls,Lauren Graham,136626,3.94,40602
2373,Let's Explore Diabetes with Owls,David Sedaris,144630,3.85,40596
2374,Anthem,Ayn Rand,156299,3.61,40566
2375,Nausea,Jean-Paul Sartre,120217,3.94,40562
2376,The Last Letter from Your Lover,Jojo Moyes,125391,4.00,40533
2377,The Last Letter from Your Lover,Jojo Moyes,125375,4.00,40529
2378,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,82037,4.26,40501
2379,"InuYasha, Vol. 1: Turning Back Time",Rumiko Takahashi,69418,4.32,40486
2380,Rebel Angels,Libba Bray,110403,3.94,40479
2381,Twelve Sharp,Janet Evanovich,100572,4.16,40461
2382,The Icebound Land,John Flanagan,87334,4.24,40456
2383,The Iron Knight,Julie Kagawa,85506,4.18,40449
2384,The Jungle Book,Rudyard Kipling,124057,3.90,40448
2385,New Spring,Robert Jordan,105136,4.06,40445
2386,Angels' Blood,Nalini Singh,92774,4.08,40435
2387,A Bear Called Paddington,Michael Bond,82889,4.23,40380
2388,Messenger,Lois Lowry,137318,3.92,40363
2389,Frindle,Andrew Clements,119486,3.84,40362
2390,The Partner,John Grisham,128203,3.96,40314
2391,"Bud, Not Buddy",Christopher Paul Curtis,110473,3.97,40276
2392,The Poky Little Puppy,Janette Sebring Lowrey,81841,4.13,40244
2393,The Long Winter,Laura Ingalls Wilder,87897,4.17,40240
2394,La Belle Sauvage,Philip Pullman,102242,4.15,40239
2395,The Running Man,Richard Bachman,134062,3.90,40229
2396,The Agony and the Ecstasy,Irving Stone,90701,4.09,40169
2397,Cross My Heart and Hope to Spy,Ally Carter,90966,4.13,40168
2398,A Portrait of the Artist as a Young Man,James Joyce,152494,3.64,40167
2399,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,118754,3.95,40164
2400,Se questo è un uomo,Primo Levi,75662,4.33,40140
2401,The Chamber,John Grisham,140407,3.84,40134
2402,Survival in Auschwitz,Primo Levi,75654,4.33,40134
2403,Fingersmith,Sarah Waters,106800,4.02,40115
2404,Fingersmith,Sarah Waters,106758,4.02,40088
2405,Brown Girl Dreaming,Jacqueline Woodson,87827,4.16,40080
2406,The Hostile Hospital,Lemony Snicket,119064,3.99,40075
2407,The Heart Is a Lonely Hunter,Carson McCullers,110665,3.99,40027
2408,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,112291,3.96,40003
2409,An Echo in the Darkness,Francine Rivers,55453,4.63,39952
2410,The Girl in the Spider's Web,David Lagercrantz,160348,3.80,39932
2411,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories",Nancy E. Turner,75327,4.36,39924
2412,Heart-Shaped Box,Joe Hill,137618,3.84,39916
2413,Supernova,Marissa Meyer,73070,4.39,39877
2414,The Runaway Bunny,Margaret Wise Brown,82060,4.08,39874
2415,Wool,Hugh Howey,97269,4.13,39836
2416,Worth Dying For,Lee Child,94598,4.22,39826
2417,Say You're Sorry,Melinda Leigh,96977,4.07,39790
2418,This is Where I Leave You,Jonathan Tropper,144804,3.88,39773
2419,Dear Martin,Nic Stone,79676,4.35,39745
2420,Mastering the Art of French Cooking,Julia Child,70855,4.25,39718
2421,Requiem,Lauren Oliver,148873,3.74,39713
2422,Esperanza Rising,Pam Muñoz Ryan,103149,4.04,39678
2423,"Full Dark, No Stars",Stephen King,110058,4.08,39677
2424,The Water Dancer,Ta-Nehisi Coates,110585,4.07,39663
2425,The Elements of Style,William Strunk Jr.,84002,4.18,39627
2426,The Jungle,Upton Sinclair,145936,3.77,39588
2427,Daughter of Fortune,Isabel Allende,132232,3.93,39566
2428,Shift,Hugh Howey,107721,4.12,39550
2429,Fever 1793,Laurie Halse Anderson,125657,3.93,39545
2430,Magyk,Angie Sage,121049,3.85,39534
2431,You Can Heal Your Life,Louise L. Hay,79828,4.15,39492
2432,The Bonesetter's Daughter,Amy Tan,129214,4.00,39458
2433,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,97935,4.09,39445
2434,Captive Prince: Volume Two,C.S. Pacat,71142,4.37,39427
2435,If on a Winter’s Night a Traveler,Italo Calvino,98559,4.03,39425
2436,Vow of Thieves,Mary E. Pearson,79876,4.33,39421
2437,Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,Tim  Marshall,93848,4.20,39417
2438,The Dark Half,Stephen King,143105,3.80,39393
2439,The Gift of the Magi,O. Henry,95608,4.11,39381
2440,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",Tracy Kidder,84735,4.19,39380
2441,The Witness,Nora Roberts,84508,4.24,39361
2442,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,73801,4.29,39348
2443,The Sky Is Everywhere,Jandy Nelson,106274,3.96,39279
2444,The Girl Who Loved Tom Gordon,Stephen King,163076,3.63,39253
2445,The Body: A Guide for Occupants,Bill Bryson,83629,4.32,39249
2446,Beautiful Stranger,Christina Lauren,94929,4.13,39230
2447,Go Set a Watchman,Harper Lee,274685,3.31,39227
2448,Chocolat,Joanne Harris,125961,3.96,39227
2449,Holly,Stephen King,97859,4.13,39225
2450,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,90116,4.16,39200
2451,The Bane Chronicles,Cassandra Clare,99587,4.09,39183
2452,Addicted to You,Krista Ritchie,150210,3.76,39167
2453,"Bonhoeffer: Pastor, Martyr, Prophet, Spy",Eric Metaxas,74750,4.22,39165
2454,Post Office,Charles Bukowski,126733,3.94,39128
2455,The Affair,Lee Child,100259,4.15,39120
2456,A Grief Observed,C.S. Lewis,81540,4.22,39095
2457,Şeker Portakalı,José Mauro de Vasconcelos,68585,4.39,39093
2458,شجرتي شجرة البرتقال الرائعة,José Mauro de Vasconcelos,68555,4.39,39078
2459,Beezus and Ramona,Beverly Cleary,101400,4.03,39051
2460,The Prayer of Jabez: Breaking Through to the Blessed Life,Bruce H. Wilkinson,87041,3.97,39045
2461,The Pianist,Władysław Szpilman,77634,4.24,39030
2462,The Enchantress Returns,Chris Colfer,66521,4.44,39030
2463,"The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45",Władysław Szpilman,77629,4.24,39027
2464,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,Robert Louis Stevenson,129814,3.92,38961
2465,Gerald's Game,Stephen King,163297,3.57,38957
2466,Όταν έκλαψε ο Νίτσε,Irvin D. Yalom,72325,4.36,38952
2467,Dark Age,Pierce Brown,64207,4.47,38945
2468,When Nietzsche Wept,Irvin D. Yalom,72307,4.36,38943
2469,Crossroads of Twilight,Robert Jordan,124675,3.78,38942
2470,The Desert Spear,Peter V. Brett,87136,4.21,38934
2471,Major Pettigrew's Last Stand,Helen Simonson,141462,3.90,38924
2472,Stones from the River,Ursula Hegi,95463,4.09,38867
2473,A Knight of the Seven Kingdoms,George R.R. Martin,90352,4.23,38849
2474,The Illustrated Man,Ray Bradbury,98761,4.13,38842
2475,The Fall,Albert Camus,107711,4.04,38792
2476,The Infinite Sea,Rick Yancey,141879,3.84,38789
2477,Pines,Blake Crouch,127370,3.94,38778
2478,Altered Carbon,Richard K. Morgan,106783,4.04,38772
2479,Altered Carbon,Richard K. Morgan,106764,4.04,38766
2480,Magician's Gambit,David Eddings,92243,4.15,38763
2481,Solaris,Stanisław Lem,108685,3.99,38736
2482,Gilead,Marilynne Robinson,110975,3.85,38696
2483,The Invisible Man,H.G. Wells,194717,3.64,38686
2484,The Travelling Cat Chronicles,Hiro Arikawa,74576,4.34,38679
2485,Every Breath,Nicholas Sparks,99293,4.05,38661
2486,Stars Above,Marissa Meyer,95625,4.16,38627
2487,Daughter of the Siren Queen,Tricia Levenseller,111529,4.08,38601
2488,Bad Luck and Trouble,Lee Child,92927,4.22,38543
2489,Those Who Save Us,Jenna Blum,101328,4.11,38539
2490,Scar Tissue,Anthony Kiedis,90821,4.11,38528
2491,The Magician,Michael Scott,97121,4.10,38520
2492,Reasons to Stay Alive,Matt Haig,98151,4.08,38516
2493,Bunny,Mona Awad,197916,3.52,38493
2494,Bunny,Mona Awad,197901,3.52,38491
2495,Change of Heart,Jodi Picoult,119818,3.94,38487
2496,Después de diciembre,Joana Marcús,69279,4.36,38460
2497,The Death of Mrs. Westaway,Ruth Ware,176692,3.81,38455
2498,Heir to the Empire,Timothy Zahn,92646,4.17,38451
2499,Wolfsong,T.J. Klune,72514,4.27,38425
2500,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,81782,4.22,38421
2501,Solitaire,Alice Oseman,114857,3.93,38421
2502,Solitaire,Alice Oseman,114801,3.93,38401
2503,Never Never,Colleen Hoover,121947,3.84,38381
2504,The Celestine Prophecy,James Redfield,114647,3.71,38378
2505,"The Sandman, Vol. 7: Brief Lives",Neil Gaiman,59225,4.55,38313
2506,Les Disparus du Clairdelune,Christelle Dabos,67209,4.45,38260
2507,Have a Little Faith: a True Story,Mitch Albom,86088,4.19,38237
2508,Vanity Fair,William Makepeace Thackeray,128411,3.80,38235
2509,Glass Houses,Rachel Caine,101059,3.92,38234
2510,Archenemies,Marissa Meyer,86387,4.26,38214
2511,The Prisoner of Heaven,Carlos Ruiz Zafón,101347,4.12,38184
2512,The Venice Sketchbook,Rhys Bowen,75923,4.24,38176
2513,Harriet the Spy,Louise Fitzhugh,99478,3.95,38169
2514,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,51643,4.62,38152
2515,Catherine the Great: Portrait of a Woman,Robert K. Massie,104005,3.94,38045
2516,Empire Falls,Richard Russo,122023,3.94,37977
2517,Sputnik Sweetheart,Haruki Murakami,159147,3.83,37972
2518,An Anonymous Girl,Greer Hendricks,165682,3.80,37971
2519,Jitterbug Perfume,Tom Robbins,76806,4.23,37951
2520,Demonglass,Rachel Hawkins,93270,4.08,37921
2521,Kings Rising,C.S. Pacat,63387,4.43,37896
2522,Triptych,Karin Slaughter,100473,4.13,37884
2523,Women Who Run With the Wolves,Clarissa Pinkola Estés,76063,4.13,37878
2524,Burial Rites,Hannah Kent,113165,4.03,37868
2525,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,114918,3.98,37847
2526,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,83020,4.16,37837
2527,A Reaper at the Gates,Sabaa Tahir,94423,4.16,37805
2528,My Lovely Wife,Samantha  Downing,144056,3.84,37767
2529,Lover at Last,J.R. Ward,70575,4.30,37765
2530,Ariel,Sylvia Plath,80269,4.20,37756
2531,The Golem's Eye,Jonathan Stroud,93014,4.11,37749
2532,A Hat Full of Sky,Terry Pratchett,74627,4.32,37735
2533,Refugee,Alan Gratz,68271,4.39,37721
2534,Vengeful,V.E.  Schwab,99227,4.15,37719
2535,Spilled Milk,K.L. Randis,63339,4.42,37685
2536,Ship of Magic,Robin Hobb,84707,4.21,37683
2537,The Life We Bury,Allen Eskens,121159,4.03,37669
2538,Reached,Ally Condie,167744,3.54,37658
2539,A Hunger Like No Other,Kresley Cole,84083,4.11,37640
2540,Ancillary Justice,Ann Leckie,106842,3.99,37637
2541,Not a Happy Family,Shari Lapena,171997,3.80,37623
2542,Garden Spells,Sarah Addison Allen,101219,4.07,37577
2543,Tinker Tailor Soldier Spy,John le Carré,95052,4.06,37564
2544,"Tinker, Tailor, Soldier, Spy",John le Carré,95035,4.06,37557
2545,Night Pleasures,Sherrilyn Kenyon,79883,4.20,37519
2546,Night Pleasures,Sherrilyn Kenyon,79873,4.20,37516
2547,The House of the Scorpion,Nancy Farmer,92255,4.08,37502
2548,Shopaholic & Baby,Sophie Kinsella,128607,3.80,37498
2549,Ship of Destiny,Robin Hobb,74061,4.29,37457
2550,Cold Sassy Tree,Olive Ann Burns,103382,4.02,37457
2551,Cold Sassy Tree,Olive Ann Burns,103379,4.02,37457
2552,Native Son,Richard Wright,99373,4.03,37442
2553,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman,83247,4.20,37430
2554,Jemima J,Jane Green,118690,3.68,37419
2555,Beyond Good and Evil: Prelude to a Philosophy of the Future,Friedrich Nietzsche,96626,4.03,37409
2556,A Rule Against Murder,Louise Penny,95792,4.21,37402
2557,Beyond Good and Evil,Friedrich Nietzsche,96584,4.03,37391
2558,The Complete Tales,Beatrix Potter,65529,4.36,37378
2559,Anna Dressed in Blood,Kendare Blake,105522,3.91,37367
2560,Thud!,Terry Pratchett,73638,4.35,37365
2561,The Art of Fielding,Chad Harbach,113186,3.99,37320
2562,The Tommyknockers,Stephen King,153216,3.60,37301
2563,My Life in France,Julia Child,89947,4.16,37256
2564,The Tyrant’s Tomb,Rick Riordan,74888,4.33,37183
2565,The Winner's Curse,Marie Rutkoski,109862,3.95,37179
2566,"The Sandman, Vol. 5: A Game of You",Neil Gaiman,66410,4.41,37179
2567,Year One,Nora Roberts,88380,4.05,37103
2568,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,110029,3.98,37094
2569,The Kiss Thief,L.J. Shen,102688,3.86,37072
2570,Prelude to Foundation,Isaac Asimov,88254,4.16,37046
2571,Foundation's Edge,Isaac Asimov,90092,4.17,37046
2572,Fool Me Once,Harlan Coben,115803,3.97,37037
2573,Rivers of London,Ben Aaronovitch,130816,3.86,37032
2574,Doctor Zhivago,Boris Pasternak,97034,4.01,37022
2575,You Deserve Each Other,Sarah Hogle,112651,3.92,37021
2576,Fish in a Tree,Lynda Mullaly Hunt,74873,4.26,36986
2577,Beautiful Ruins,Jess Walter,177804,3.68,36941
2578,Cleopatra: A Life,Stacy Schiff,117523,3.73,36929
2579,Uzumaki,Junji Ito,65135,4.45,36900
2580,The Signature of All Things,Elizabeth Gilbert,116934,3.87,36798
2581,The Time Keeper,Mitch Albom,114189,3.89,36783
2582,Later,Stephen King,127112,3.98,36764
2583,Tender Is the Night,F. Scott Fitzgerald,137084,3.78,36744
2584,Blindsighted,Karin Slaughter,99993,4.10,36742
2585,A Closed and Common Orbit,Becky  Chambers,72590,4.37,36740
2586,His Majesty's Dragon,Naomi Novik,100783,4.06,36703
2587,Battle Royale,Koushun Takami,76204,4.26,36698
2588,The Complete Works,William Shakespeare,57137,4.48,36695
2589,The Round House,Louise Erdrich,116739,3.98,36690
2590,I Capture the Castle,Dodie Smith,105030,4.00,36690
2591,Deadhouse Gates,Steven Erikson,74023,4.27,36688
2592,Lean Mean Thirteen,Janet Evanovich,97734,4.10,36687
2593,"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,75897,4.27,36662
2594,Anne of Windy Poplars,L.M. Montgomery,98627,4.02,36642
2595,Mistborn Trilogy Boxed Set,Brandon Sanderson,53388,4.59,36635
2596,The Chalice of the Gods,Rick Riordan,73672,4.34,36618
2597,A Scanner Darkly,Philip K. Dick,102510,4.02,36601
2598,A Scanner Darkly,Philip K. Dick,102489,4.02,36597
2599,A Doll's House,Henrik Ibsen,146115,3.76,36579
2600,God Emperor of Dune,Frank Herbert,114348,3.88,36576
2601,Antigone,Sophocles,154629,3.67,36565
2602,God Emperor of Dune,Frank Herbert,114266,3.88,36550
2603,Invisible Cities,Italo Calvino,84433,4.11,36516
2604,The Borrowers,Mary Norton,97616,4.03,36501
2605,Last Night at the Telegraph Club,Malinda Lo,86224,4.22,36500
2606,The Borrowers,Mary Norton,97605,4.03,36497
2607,The Day of the Triffids,John Wyndham,108041,4.01,36485
2608,The Chosen,Chaim Potok,93629,4.07,36461
2609,Soulless,Gail Carriger,110624,3.90,36447
2610,The Woman Who Rides Like a Man,Tamora Pierce,80283,4.18,36441
2611,A Wild Sheep Chase,Haruki Murakami,126437,3.94,36430
2612,A Winter's Promise,Christelle Dabos,100490,4.03,36409
2613,The Guns of August,Barbara W. Tuchman,76786,4.18,36389
2614,The Darkest Night,Gena Showalter,84353,4.05,36366
2615,The Testament,John Grisham,119349,3.90,36363
2616,Swan Song,Robert McCammon,68491,4.29,36351
2617,Survivor,Chuck Palahniuk,118619,3.93,36340
2618,Destined,P.C. Cast,84979,4.03,36304
2619,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,89716,4.04,36293
2620,Iron Widow,Xiran Jay Zhao,83571,4.07,36281
2621,The Kingdom of Copper,S.A. Chakraborty,70017,4.40,36266
2622,The Time Paradox,Eoin Colfer,91463,4.08,36223
2623,Magician,Raymond E. Feist,67752,4.32,36200
2624,The Swiss Family Robinson,Johann David Wyss,106204,3.91,36158
2625,The Swiss Family Robinson,Johann David Wyss,106190,3.91,36156
2626,Unaccustomed Earth,Jhumpa Lahiri,92995,4.13,36156
2627,White Noise,Don DeLillo,115844,3.86,36147
2628,Razorblade Tears,S.A. Cosby,94600,4.10,36145
2629,Faithful Place,Tana French,121518,3.99,36144
2630,White Noise,Don DeLillo,115813,3.86,36143
2631,White Hot Kiss,Jennifer L. Armentrout,82132,4.18,36136
2632,The Siege of Macindaw,John Flanagan,69818,4.34,36128
2633,The Lost Man,Jane Harper,99217,4.16,36118
2634,The Sneetches and Other Stories,Dr. Seuss,65464,4.31,36107
2635,Glass,Ellen Hopkins,70130,4.29,36095
2636,Travels with Charley: In Search of America,John Steinbeck,95067,4.08,36081
2637,This Is Where It Ends,Marieke Nijkamp,132676,3.68,36056
2638,Dead Reckoning,Charlaine Harris,127927,3.81,36020
2639,Hawaii,James A. Michener,78833,4.21,36000
2640,The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,80413,4.27,35966
2641,The Broken Eye,Brent Weeks,63958,4.45,35918
2642,Dance with the Devil,Sherrilyn Kenyon,65498,4.37,35916
2643,Fire & Blood,George R.R. Martin,103901,4.02,35881
2644,An Object of Beauty,Steve Martin,102911,3.78,35851
2645,Horns,Joe Hill,114527,3.93,35841
2646,Prince of Thorns,Mark  Lawrence,115138,3.84,35839
2647,Twenty Love Poems and a Song of Despair,Pablo Neruda,72917,4.22,35785
2648,A Spark of Light,Jodi Picoult,145464,3.75,35778
2649,Mystery Man,Kristen Ashley,72273,4.20,35757
2650,Godsgrave,Jay Kristoff,60946,4.46,35756
2651,Ace of Spades,Faridah Àbíké-Íyímídé,84572,4.17,35756
2652,Autobiography of a Yogi,Paramahansa Yogananda,65426,4.24,35752
2653,The Raven King,Nora Sakavic,64338,4.37,35735
2654,Kushiel's Dart,Jacqueline Carey,80393,4.02,35712
2655,The Indian in the Cupboard,Lynne Reid Banks,105884,3.93,35694
2656,Kiss the Sky,Krista Ritchie,73993,4.24,35677
2657,Kiss the Sky,Krista Ritchie,73993,4.24,35677
2658,Pure,Jennifer L. Armentrout,73815,4.27,35667
2659,Beautiful Chaos,Kami Garcia,102936,3.92,35631
2660,The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,Deepak Chopra,75165,4.16,35619
2661,Bhagavad Gita,Krishna-Dwaipayana Vyasa,72475,4.18,35600
2662,The Bhagavad Gita,Krishna-Dwaipayana Vyasa,72459,4.18,35590
2663,Someone Like You,Sarah Dessen,103726,3.92,35565
2664,Beautiful Player,Christina Lauren,74758,4.25,35564
2665,Nightshade,Andrea Cremer,83428,4.01,35557
2666,Stormbreaker,Anthony Horowitz,102406,3.98,35528
2667,Let the Great World Spin,Colum McCann,105233,3.95,35527
2668,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",Candice Millard,75153,4.21,35513
2669,Muse of Nightmares,Laini Taylor,62472,4.42,35478
2670,The Sorcerer in the North,John Flanagan,74032,4.27,35463
2671,On the Island,Tracey Garvis Graves,84574,4.11,35377
2672,Rules of Prey,John Sandford,88038,4.11,35349
2673,Notes from a Small Island,Bill Bryson,113014,3.91,35320
2674,Memories of Ice,Steven Erikson,58876,4.46,35317
2675,Persepolis Rising,James S.A. Corey,71538,4.37,35267
2676,Beautiful Boy: A Father's Journey Through His Son's Addiction,David Sheff,90163,4.15,35264
2677,Across the Universe,Beth Revis,118021,3.77,35237
2678,Piercing the Darkness,Frank E. Peretti,63508,4.32,35205
