,book_title,author,num_ratings,average_rating,5_star_reviews
83,The Perks of Being a Wallflower,Stephen Chbosky,1803503,4.23,883291
84,All the Light We Cannot See,Anthony Doerr,1679242,4.32,882981
85,Fahrenheit 451,Ray Bradbury,2433141,3.97,872912
86,Fahrenheit 451,Ray Bradbury,2433141,3.97,872912
87,Memoirs of a Geisha,Arthur Golden,2006832,4.15,867139
88,Memoirs of a Geisha,Arthur Golden,2006566,4.15,866975
89,Of Mice and Men,John Steinbeck,2559548,3.88,842347
90,The Da Vinci Code,Dan       Brown,2360320,3.92,841466
91,The Notebook,Nicholas Sparks,1698833,4.15,839792
92,The Notebook,Nicholas Sparks,1698460,4.15,839570
93,Le Chant d'Achille,Madeline Miller,1509237,4.33,822686
94,The Song of Achilles,Madeline Miller,1509129,4.33,822640
95,The Song of Achilles,Madeline Miller,1508566,4.33,822342
96,The Song of Achilles,Madeline Miller,1508477,4.33,822301
97,The Song of Achilles,Madeline Miller,1508341,4.33,822238
98,The Song of Achilles,Madeline Miller,1508157,4.33,822140
99,Ugly Love,Colleen Hoover,1848445,4.05,810882
100,Ugly Love,Colleen Hoover,1846852,4.05,810350
101,Me Before You,Jojo Moyes,1637638,4.26,806742
102,Lord of the Flies,William Golding,2916989,3.69,799837
103,Where the Sidewalk Ends,Shel Silverstein,1408859,4.34,796903
104,Romeo and Juliet,William Shakespeare,2616867,3.74,775456
105,The Shining,Stephen King,1498128,4.27,759306
106,The Lovely Bones,Alice Sebold,2360039,3.85,754569
107,Ender’s Game,Orson Scott Card,1379373,4.31,740181
108,A ​Court of Silver Flames,Sarah J. Maas,1149305,4.47,716824
109,Dune,Frank Herbert,1379466,4.27,715141
110,The Time Traveler’s Wife,Audrey Niffenegger,1789294,3.99,707658
111,The Giving Tree,Shel Silverstein,1131909,4.38,706669
112,Eragon,Christopher Paolini,1785086,3.95,702610
113,Night,Elie Wiesel,1250839,4.37,700215
114,Reminders of Him,Colleen Hoover,1220133,4.38,696965
115,The Selection,Kiera Cass,1563695,4.08,691547
116,Throne of Glass,Sarah J. Maas,1532492,4.18,689262
117,Throne of Glass,Sarah J. Maas,1530717,4.18,688570
118,Throne of Glass,Sarah J. Maas,1530279,4.18,688407
119,Gone with the Wind,Margaret Mitchell,1210196,4.31,686376
120,And Then There Were None,Agatha Christie,1367069,4.28,684456
121,Brave New World,Aldous Huxley,1864954,3.99,680160
122,Wuthering Heights,Emily Brontë,1815596,3.89,668998
123,Daisy Jones & The Six,Taylor Jenkins Reid,1508371,4.21,666475
124,Daisy Jones & The Six,Taylor Jenkins Reid,1507363,4.21,666039
125,The Last Olympian,Rick Riordan,1011488,4.55,664785
126,The Name of the Wind,Patrick Rothfuss,967627,4.52,659002
127,Water for Elephants,Sara Gruen,1619998,4.11,654619
128,Becoming,Michelle Obama,1055430,4.46,648474
129,Lessons in Chemistry,Bonnie Garmus,1272280,4.30,647010
130,The Martian,Andy Weir,1128372,4.42,642856
131,The Picture of Dorian Gray,Oscar Wilde,1548189,4.12,639671
132,The Picture of Dorian Gray,Oscar Wilde,1547611,4.12,639455
133,Breaking Dawn,Stephenie Meyer,1715096,3.74,636615
134,The Midnight Library,Matt Haig,1800750,4.00,635324
135,The Midnight Library,Matt Haig,1799720,4.00,634970
136,Northern Lights,Philip Pullman,1530690,4.02,627988
137,The Golden Compass,Philip Pullman,1530370,4.02,627834
138,The Glass Castle,Jeannette Walls,1220071,4.32,627401
139,Eclipse,Stephenie Meyer,1818989,3.73,623079
140,The Return of the King,J.R.R. Tolkien,910164,4.56,616737
141,The Return of the King,J.R.R. Tolkien,910015,4.56,616614
142,The Return of the King,J.R.R. Tolkien,909923,4.56,616554
143,Wonder,R.J. Palacio,1091523,4.37,615043
144,Looking for Alaska,John Green,1607282,3.97,614257
145,Looking for Alaska,John Green,1606933,3.97,614152
146,The Battle of the Labyrinth,Rick Riordan,1090643,4.42,613630
147,The Battle of the Labyrinth,Rick Riordan,1090494,4.42,613548
148,The Love Hypothesis,Ali Hazelwood,1407522,4.15,613182
149,The Maze Runner,James Dashner,1535653,4.05,607108
150,The Two Towers,J.R.R. Tolkien,975888,4.48,605116
151,The Two Towers,J.R.R. Tolkien,975759,4.48,605025
152,The Two Towers,J.R.R. Tolkien,975635,4.48,604948
153,Steve Jobs,Walter Isaacson,1250263,4.16,599128
154,New Moon,Stephenie Meyer,1934445,3.60,595739
155,Six of Crows,Leigh Bardugo,958968,4.48,592558
156,Six of Crows,Leigh Bardugo,958947,4.48,592550
157,Six of Crows,Leigh Bardugo,958735,4.48,592437
158,Six of Crows,Leigh Bardugo,958701,4.48,592416
159,Six of Crows,Leigh Bardugo,958474,4.48,592300
160,Outlander,Diana Gabaldon,1058656,4.26,587505
161,Slaughterhouse-Five,Kurt Vonnegut Jr.,1374216,4.10,587246
162,The Outsiders,S.E. Hinton,1349057,4.13,585227
163,Sapiens: A Brief History of Humankind,Yuval Noah Harari,1038356,4.36,583991
164,Ready Player One,Ernest Cline,1174520,4.23,581761
165,I'm Glad My Mom Died,Jennette McCurdy,1007222,4.46,581013
166,Life of Pi,Yann Martel,1630226,3.94,579175
167,A Man Called Ove,Fredrik Backman,1040090,4.38,577021
168,It,Stephen King,1118333,4.24,570056
169,It,Stephen King,1117963,4.24,569888
170,Eleanor Oliphant Is Completely Fine,Gail Honeyman,1237332,4.24,565027
171,Eleanor Oliphant Is Completely Fine,Gail Honeyman,1237047,4.24,564912
172,The Housemaid,Freida McFadden,1139650,4.33,563248
173,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,937604,4.38,560689
174,The Titan’s Curse,Rick Riordan,1065322,4.37,560168
175,Where the Wild Things Are,Maurice Sendak,1006611,4.24,553077
176,Queen of Shadows,Sarah J. Maas,804312,4.61,552990
177,Queen of Shadows,Sarah J. Maas,804023,4.61,552784
178,The Hate U Give,Angie Thomas,904199,4.47,548857
