genre,genre_id
"Fiction, Sports, Baseball, Classics, Literature, Novels, Literary Fiction",82
"Fiction, Adoption, Contemporary, Family, Literary Fiction, Novels, Adult Fiction",83
"Fiction, Historical Fiction, Alternate History, Literature, Science Fiction, American, Novels",84
"Humor, Nonfiction, Politics, Comedy, History, Audiobook, American History",85
"Humor, Nonfiction, Comedy, Essays, Short Stories, Politics, History",86
"Short Stories, Fiction, Magical Realism, Classics, Literature, Latin American, Literary Fiction",87
"Classics, Literature, Romance, Magical Realism, Novels, Latin American, Spanish Literature",88
"Sports, Baseball, Nonfiction, Biography, History, Memoir, Journalism",89
"Fiction, Science Fiction, Historical Fiction, Cyberpunk, Thriller, Historical, War",90
"Fiction, Historical Fiction, Science Fiction, Fantasy, Historical, Adventure, Literature",91
"Fiction, Historical Fiction, Science Fiction, Fantasy, Historical, Science Fiction Fantasy, Alternate History",92
"Fiction, Science Fiction, Thriller, Mystery, Cyberpunk, Science Fiction Fantasy, Environment",93
"Science Fiction, Fiction, Cyberpunk, Steampunk, Fantasy, Science Fiction Fantasy, Speculative Fiction",94
"Science Fiction, Fiction, Cyberpunk, Fantasy, Science Fiction Fantasy, Dystopia, Novels",95
"Design, Nonfiction, Business, Psychology, Science, Art, Engineering",96
"Fiction, Classics, Fantasy, Philosophy, Novels, Spirituality, Self Help",97
"Manga, Fantasy, Graphic Novels, Comics, Fiction, Science Fiction, Steampunk",98
"Manga, Fantasy, Graphic Novels, Comics, Fiction, Young Adult, Science Fiction",99
"Fiction, Classics, School, Historical Fiction, Literature, Read For School, Novels",100
"Mystery, Fiction, Young Adult, Middle Grade, Classics, Childrens, Mystery Thriller",101
"Fiction, Historical Fiction, Romance, Historical, Japan, Adult, Novels",102
"Fiction, Mystery, Thriller, Mystery Thriller, Suspense, Adventure, Crime",103
"Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction, Suspense, Adventure",104
"Fiction, Adventure, Science Fiction, Crime, Novels, Action, Contemporary",105
"Finance, Nonfiction, Business, Personal Finance, Money, Self Help, Economics",106
"Business, Nonfiction, Finance, Self Help, Money, Biography, Entrepreneurship",107
"Business, Biography, Nonfiction, Politics, Self Help, Finance, Autobiography",108
"Business, Nonfiction, Self Help, Finance, Biography, Money, Personal Development",109
"Business, Nonfiction, Self Help, Personal Development",110
"Finance, Business, Nonfiction, Self Help, Personal Finance, Money, Personal Development",111
"Fiction, Thriller, Mystery, Espionage, Japan, Mystery Thriller, Adventure",112
"Thriller, Fiction, Mystery, Espionage",113
"History, Nonfiction, American History, Historical, American Revolution, War, Audiobook",114
"Classics, Fiction, Historical Fiction, China, Literature, Historical, Asia",115
"Nonfiction, Food, Health, Sociology, Politics, History, Science",116
"Historical Fiction, Fiction, China, Historical, Book Club, Adult, Asian Literature",117
"Fiction, Thriller, Mystery, Legal Thriller, Crime, Suspense, Mystery Thriller",118
"History, Biography, Nonfiction, Politics, New York, Business, American History",119
"Nonfiction, Economics, Business, Science, Psychology, Sociology, Finance",120
"Fiction, Historical Fiction, Mystery, Fantasy, Books About Books, Historical, Spain",121
"Fiction, Contemporary, Psychology, Biography Memoir, Mental Health, Adult, Book Club",122
"Nonfiction, Self Help, Psychology, Relationships, Personal Development, Marriage, Philosophy",123
"Historical Fiction, Fiction, Fantasy, Historical, Classics, Adventure, Prehistoric",124
"Nonfiction, Sports, Baseball, Business, Economics, Biography, History",125
"Nonfiction, Psychology, Self Help, Business, Philosophy, History, Personal Development",126
"Historical Fiction, Fiction, War, Military Fiction, Historical, Fantasy, Greece",127
"Nonfiction, Writing, Self Help, Art, Business, Personal Development, Psychology",128
"History, Nonfiction, Ancient History, Greece, Ancient, Classics, Philosophy",129
"Mythology, Literature, Historical Fiction, Greek Mythology, Epic, Historical, Ancient",130
"Classics, Fiction, Poetry, Mythology, Fantasy, Literature, Historical Fiction",131
"Classics, Fiction, Poetry, Mythology, Fantasy, School, Literature",132
"Classics, Plays, Fiction, School, Literature, Theatre, Read For School",133
"Plays, Classics, Humor, Drama, Fiction, Theatre, Comedy",134
"Fiction, Philosophy, Spirituality, Self Help, Inspirational, Novels, Literature",135
"Fiction, Novels, Philosophy, Contemporary, Romance, Spirituality, Literature",136
"Fiction, Romance, Philosophy, Novels, Spirituality, Contemporary, Literature",137
"Fiction, Historical Fiction, Philosophy, Novels, Spirituality, Religion, Inspirational",138
"Fiction, Romance, Novels, Contemporary, Philosophy, Literature, Adult",139
"Fiction, Contemporary, Philosophy, Novels, Psychology, Mental Health, Romance",140
"Plays, Classics, Drama, Mythology, Theatre, Fiction, Tragedy",141
"Plays, Fiction, Mythology, Poetry, Literature, Theatre, Classics",142
"Plays, Fiction, Mythology, School, Literature, Classics, Theatre",143
"Classics, Plays, Fiction, School, Mythology, Read For School, Theatre",144
"Plays, Classics, Drama, Fiction, Theatre, Humor, Feminism",145
"Nonfiction, Classics, Memoir, Holocaust, Biography, School, Historical",146
"Fiction, Mystery, Young Adult, Classics, Autistic Spectrum Disorder, Novels, Contemporary",147
"Plays, Fiction, Fantasy, School, Romance, Poetry, Literature",148
"Nonfiction, Memoir, Biography, Africa, Travel, History, Adventure",149
"Plays, Fiction, Classics, School, Romance, Theatre, Literature",150
"Fiction, Short Stories, LGBT, Romance, Queer, Gay, Westerns",151
"Nonfiction, Productivity, Business, Self Help, Personal Development, Management, Psychology",152
"Fiction, Classics, Spanish Literature, Latin American, Literature, Novels, Latin American Literature",153
"Classics, Poetry, Mythology, Fiction, Literature, Fantasy, Ancient",154
"History, Nonfiction, Science, Anthropology, Sociology, Politics, Economics",155
"Nonfiction, Biography, Adventure, Classics, Memoir, Nature, School",156
"Nonfiction, History, China, Biography, Memoir, Asia, Historical",157
"Fiction, Thriller, Mystery, Suspense, Mystery Thriller, Crime, Audiobook",158
"Fiction, Classics, Adventure, Young Adult, Animals, Historical Fiction, Literature",159
"Nonfiction, Sociology, Politics, Economics, Memoir, Social Justice, Poverty",160
"Philosophy, Nonfiction, History, Theory, Sexuality, Sociology, Psychology",161
"Philosophy, Nonfiction, History, Sexuality, Theory, Sociology, Psychology",162
"Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance",163
"Nonfiction, Adventure, Memoir, Travel, Biography, History, Survival",164
