,book_title,author,num_ratings,average_rating,5_star_reviews,book_author
2690,All About Love: New Visions,bell hooks,88769,4.06,35047,All About Love: New Visions - bell hooks
2691,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,87423,4.05,35020,1491: New Revelations of the Americas Before Columbus - Charles C. Mann
2692,Les Fleurs du Mal,Charles Baudelaire,73560,4.20,34994,Les Fleurs du Mal - Charles Baudelaire
2693,Sula,Toni Morrison,100210,4.03,34935,Sula - Toni Morrison
2694,What Is the What,Dave Eggers,84878,4.14,34918,What Is the What - Dave Eggers
2695,Hounded,Kevin Hearne,87914,4.10,34918,Hounded - Kevin Hearne
2696,From Sand and Ash,Amy Harmon,62760,4.38,34846,From Sand and Ash - Amy Harmon
2697,Grave Mercy,Robin LaFevers,105755,3.89,34841,Grave Mercy - Robin LaFevers
2698,The Deep End of the Ocean,Jacquelyn Mitchard,120429,3.87,34841,The Deep End of the Ocean - Jacquelyn Mitchard
2699,Paranormalcy,Kiersten White,98418,3.88,34815,Paranormalcy - Kiersten White
2700,The Complete Calvin and Hobbes,Bill Watterson,40335,4.81,34805,The Complete Calvin and Hobbes - Bill Watterson
2701,Lick,Kylie Scott,89728,4.06,34766,Lick - Kylie Scott
2702,The Circle,Dave Eggers,218337,3.43,34734,The Circle - Dave Eggers
2703,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,93129,3.98,34708,Made to Stick: Why Some Ideas Survive and Others Die - Chip Heath
2704,The Dragonet Prophecy,Tui T. Sutherland,67398,4.24,34694,The Dragonet Prophecy - Tui T. Sutherland
2705,Magician: Master,Raymond E. Feist,72585,4.25,34688,Magician: Master - Raymond E. Feist
2706,Cursor's Fury,Jim Butcher,67819,4.36,34678,Cursor's Fury - Jim Butcher
2707,The Sorrows of Young Werther,Johann Wolfgang von Goethe,132286,3.69,34677,The Sorrows of Young Werther - Johann Wolfgang von Goethe
2708,The House of Mirth,Edith Wharton,98316,3.97,34667,The House of Mirth - Edith Wharton
2709,Burned,Ellen Hopkins,66852,4.25,34655,Burned - Ellen Hopkins
2710,The Great Dune Trilogy,Frank Herbert,61424,4.37,34643,The Great Dune Trilogy - Frank Herbert
2711,The Power of Your Subconscious Mind,Joseph Murphy,76670,4.08,34643,The Power of Your Subconscious Mind - Joseph Murphy
2712,The Sparrow,Mary Doria Russell,75887,4.14,34632,The Sparrow - Mary Doria Russell
2713,The Sorceress,Michael Scott,83903,4.12,34628,The Sorceress - Michael Scott
2714,Harrow the Ninth,Tamsyn Muir,66879,4.30,34617,Harrow the Ninth - Tamsyn Muir
2715,"84, Charing Cross Road",Helene Hanff,83977,4.16,34590,"84, Charing Cross Road - Helene Hanff"
2716,10% Happier,Dan   Harris,108012,3.92,34581,10% Happier - Dan   Harris
2717,If You Give a Pig a Pancake,Laura Joffe Numeroff,65306,4.26,34568,If You Give a Pig a Pancake - Laura Joffe Numeroff
2718,Fire and Ice,Erin Hunter,62507,4.36,34548,Fire and Ice - Erin Hunter
2719,Noughts & Crosses,Malorie Blackman,74447,4.19,34540,Noughts & Crosses - Malorie Blackman
2720,Sweet Evil,Wendy Higgins,77069,4.08,34537,Sweet Evil - Wendy Higgins
2721,Let it Snow,John Green,150321,3.68,34490,Let it Snow - John Green
2722,"The Sandman, Vol. 9: The Kindly Ones",Neil Gaiman,50950,4.59,34459,"The Sandman, Vol. 9: The Kindly Ones - Neil Gaiman"
2723,Eating Animals,Jonathan Safran Foer,78077,4.21,34447,Eating Animals - Jonathan Safran Foer
2724,The Girls,Emma Cline,218371,3.50,34410,The Girls - Emma Cline
2725,After Dark,Haruki Murakami,164107,3.74,34394,After Dark - Haruki Murakami
2726,The Camel Club,David Baldacci,92545,4.06,34379,The Camel Club - David Baldacci
2727,Fearless Fourteen,Janet Evanovich,94984,4.05,34323,Fearless Fourteen - Janet Evanovich
2728,Captain's Fury,Jim Butcher,66937,4.37,34303,Captain's Fury - Jim Butcher
2729,The Woods,Harlan Coben,100953,4.06,34271,The Woods - Harlan Coben
2730,The Rose & the Dagger,Renée Ahdieh,94269,4.04,34263,The Rose & the Dagger - Renée Ahdieh
2731,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,76773,4.19,34258,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead - Fyodor Dostoevsky"
2732,Bound by Honor,Cora Reilly,105713,3.80,34251,Bound by Honor - Cora Reilly
2733,El laberinto de los espíritus,Carlos Ruiz Zafón,53441,4.53,34234,El laberinto de los espíritus - Carlos Ruiz Zafón
2734,The Prince and the Pauper,Mark Twain,119702,3.87,34219,The Prince and the Pauper - Mark Twain
2735,Every Which Way But Dead,Kim Harrison,70906,4.28,34216,Every Which Way But Dead - Kim Harrison
2736,The Waste Land and Other Poems,T.S. Eliot,69192,4.22,34193,The Waste Land and Other Poems - T.S. Eliot
2737,This Savage Song,V.E.  Schwab,102181,4.04,34185,This Savage Song - V.E.  Schwab
2738,Dry,Augusten Burroughs,95620,4.03,34184,Dry - Augusten Burroughs
2739,Monstrous Regiment,Terry Pratchett,73290,4.23,34184,Monstrous Regiment - Terry Pratchett
2740,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,117191,3.84,34166,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary - Simon Winchester"
2741,Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,79652,4.11,34164,Flow: The Psychology of Optimal Experience - Mihály Csíkszentmihályi
2742,Persepolis 2: The Story of a Return,Marjane Satrapi,75427,4.22,34155,Persepolis 2: The Story of a Return - Marjane Satrapi
2743,Pani Jeziora,Andrzej Sapkowski,83029,4.10,34137,Pani Jeziora - Andrzej Sapkowski
2744,Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life,Richard Carlson,93292,4.00,34129,Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life - Richard Carlson
2745,America (The Book): A Citizen's Guide to Democracy Inaction,Jon   Stewart,95961,4.01,34121,America (The Book): A Citizen's Guide to Democracy Inaction - Jon   Stewart
2746,True Colors,Kristin Hannah,97035,4.04,34111,True Colors - Kristin Hannah
2747,The Darkest Hour,Erin Hunter,51155,4.54,34103,The Darkest Hour - Erin Hunter
2748,Thief of Time,Terry Pratchett,72165,4.27,34096,Thief of Time - Terry Pratchett
2749,Lords and Ladies,Terry Pratchett,79743,4.20,34062,Lords and Ladies - Terry Pratchett
2750,"South of the Border, West of the Sun",Haruki Murakami,129275,3.86,34054,"South of the Border, West of the Sun - Haruki Murakami"
2751,Cyrano de Bergerac,Edmond Rostand,84686,4.06,34049,Cyrano de Bergerac - Edmond Rostand
2752,Daughter of the Forest,Juliet Marillier,65616,4.28,34045,Daughter of the Forest - Juliet Marillier
2753,First Lord's Fury,Jim Butcher,63178,4.39,34018,First Lord's Fury - Jim Butcher
2754,The Black Stallion,Walter Farley,73716,4.19,34010,The Black Stallion - Walter Farley
2755,Counting by 7s,Holly Goldberg Sloan,81051,4.14,34001,Counting by 7s - Holly Goldberg Sloan
2756,Warm Bodies,Isaac Marion,106375,3.91,33999,Warm Bodies - Isaac Marion
2757,The Lottery,Shirley Jackson,90858,4.06,33985,The Lottery - Shirley Jackson
2758,A Song of Ice and Fire,George R.R. Martin,47401,4.62,33983,A Song of Ice and Fire - George R.R. Martin
2759,Pollyanna,Eleanor H. Porter,87149,4.01,33982,Pollyanna - Eleanor H. Porter
2760,Switched,Amanda Hocking,100082,3.87,33981,Switched - Amanda Hocking
2761,You Are Special,Max Lucado,52553,4.45,33979,You Are Special - Max Lucado
2762,Kürk Mantolu Madonna,Sabahattin Ali,58781,4.41,33978,Kürk Mantolu Madonna - Sabahattin Ali
2763,The Statistical Probability of Love at First Sight,Jennifer E. Smith,122643,3.75,33963,The Statistical Probability of Love at First Sight - Jennifer E. Smith
2764,By the Shores of Silver Lake,Laura Ingalls Wilder,78188,4.17,33954,By the Shores of Silver Lake - Laura Ingalls Wilder
2765,Ten Tiny Breaths,K.A. Tucker,81406,4.09,33946,Ten Tiny Breaths - K.A. Tucker
2766,The Glass Menagerie,Tennessee Williams,133939,3.73,33926,The Glass Menagerie - Tennessee Williams
2767,Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,82295,3.92,33905,Captivating: Unveiling the Mystery of a Woman's Soul - John Eldredge
2768,Only the Good Spy Young,Ally Carter,67108,4.29,33890,Only the Good Spy Young - Ally Carter
2769,The First to Die at the End,Adam Silvera,82483,4.02,33889,The First to Die at the End - Adam Silvera
2770,The Mindf*ck Series,S.T. Abby,46742,4.63,33876,The Mindf*ck Series - S.T. Abby
2771,The Empire of Gold,S.A. Chakraborty,55708,4.50,33860,The Empire of Gold - S.A. Chakraborty
2772,The Millennium Trilogy,Stieg Larsson,55643,4.47,33831,The Millennium Trilogy - Stieg Larsson
2773,The Player of Games,Iain M. Banks,72853,4.28,33826,The Player of Games - Iain M. Banks
2774,The Library Book,Susan Orlean,115485,3.89,33823,The Library Book - Susan Orlean
2775,Four Past Midnight,Stephen King,110055,3.95,33781,Four Past Midnight - Stephen King
2776,With the Fire on High,Elizabeth Acevedo,85091,4.18,33722,With the Fire on High - Elizabeth Acevedo
2777,Daughter of the Moon Goddess,Sue Lynn Tan,86369,4.11,33712,Daughter of the Moon Goddess - Sue Lynn Tan
2778,In Flight,R.K. Lilley,78331,4.07,33663,In Flight - R.K. Lilley
2779,You've Reached Sam,Dustin Thao,132216,3.63,33640,You've Reached Sam - Dustin Thao
2780,Peace Like a River,Leif Enger,90842,4.01,33634,Peace Like a River - Leif Enger
2781,Kingdom of the Feared,Kerri Maniscalco,107170,3.87,33626,Kingdom of the Feared - Kerri Maniscalco
2782,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",Tony Robbins,71282,4.15,33625,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny! - Tony Robbins"
2783,See Me,Nicholas Sparks,94972,4.00,33615,See Me - Nicholas Sparks
2784,Maisie Dobbs,Jacqueline Winspear,111402,3.92,33614,Maisie Dobbs - Jacqueline Winspear
2785,The First Fifteen Lives of Harry August,Claire North,89103,4.03,33600,The First Fifteen Lives of Harry August - Claire North
2786,The First Fifteen Lives of Harry August,Claire North,89083,4.03,33593,The First Fifteen Lives of Harry August - Claire North
2787,Tales from the Shadowhunter Academy,Cassandra Clare,69538,4.31,33585,Tales from the Shadowhunter Academy - Cassandra Clare
2788,Hunting Ground,Patricia Briggs,70338,4.28,33581,Hunting Ground - Patricia Briggs
2789,Magic Rises,Ilona Andrews,58617,4.45,33576,Magic Rises - Ilona Andrews
2790,Summer Sisters,Judy Blume,111629,3.86,33563,Summer Sisters - Judy Blume
2791,"Night World, No. 3",L.J. Smith,65631,4.20,33558,"Night World, No. 3 - L.J. Smith"
2792,Summer Sisters,Judy Blume,111595,3.86,33554,Summer Sisters - Judy Blume
2793,The Demon King,Cinda Williams Chima,77072,4.16,33551,The Demon King - Cinda Williams Chima
2794,Amy & Roger's Epic Detour,Morgan Matson,93754,3.98,33527,Amy & Roger's Epic Detour - Morgan Matson
2795,A Grimm Warning,Chris Colfer,55776,4.46,33521,A Grimm Warning - Chris Colfer
2796,Anathem,Neal Stephenson,71651,4.17,33499,Anathem - Neal Stephenson
2797,The Thief Lord,Cornelia Funke,97930,3.98,33475,The Thief Lord - Cornelia Funke
2798,The Bride,Julie Garwood,66958,4.23,33444,The Bride - Julie Garwood
2799,The Valley of Horses,Jean M. Auel,89930,4.03,33438,The Valley of Horses - Jean M. Auel
2800,61 Hours,Lee Child,90571,4.12,33436,61 Hours - Lee Child
2801,Forest of Secrets,Erin Hunter,57010,4.42,33426,Forest of Secrets - Erin Hunter
2802,Persuader,Lee Child,90432,4.13,33421,Persuader - Lee Child
2803,Motorcycle Man,Kristen Ashley,57258,4.38,33390,Motorcycle Man - Kristen Ashley
2804,Beautiful Oblivion,Jamie McGuire,79153,4.08,33379,Beautiful Oblivion - Jamie McGuire
2805,Bet Me,Jennifer Crusie,93008,3.93,33367,Bet Me - Jennifer Crusie
2806,Trickster's Choice,Tamora Pierce,66069,4.26,33358,Trickster's Choice - Tamora Pierce
2807,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,109734,3.79,33352,My Horizontal Life: A Collection of One-Night Stands - Chelsea Handler
2808,The Street Lawyer,John Grisham,116331,3.88,33336,The Street Lawyer - John Grisham
2809,Till We Have Faces,C.S. Lewis,70556,4.19,33316,Till We Have Faces - C.S. Lewis
2810,The Twelve,Justin Cronin,100714,4.02,33309,The Twelve - Justin Cronin
2811,Faith of the Fallen,Terry Goodkind,72259,4.10,33285,Faith of the Fallen - Terry Goodkind
2812,Birdsong,Sebastian Faulks,78977,4.10,33266,Birdsong - Sebastian Faulks
2813,Hamilton: The Revolution,Lin-Manuel Miranda,52903,4.45,33250,Hamilton: The Revolution - Lin-Manuel Miranda
2814,Heist Society,Ally Carter,93349,3.92,33246,Heist Society - Ally Carter
2815,The Girl Before,J.P. Delaney,156592,3.70,33241,The Girl Before - J.P. Delaney
2816,Our Violent Ends,Chloe Gong,65221,4.32,33231,Our Violent Ends - Chloe Gong
2817,The Foxhole Court,Nora Sakavic,81536,4.02,33219,The Foxhole Court - Nora Sakavic
2818,The Secret of the Nagas,Amish Tripathi,89872,4.10,33203,The Secret of the Nagas - Amish Tripathi
2819,The President Is Missing,Bill Clinton,116503,3.85,33197,The President Is Missing - Bill Clinton
2820,Only Time Will Tell,Jeffrey Archer,90139,4.10,33190,Only Time Will Tell - Jeffrey Archer
2821,Knowing God,J.I. Packer,58519,4.32,33186,Knowing God - J.I. Packer
2822,3rd Degree,James Patterson,93767,4.06,33185,3rd Degree - James Patterson
2823,Making Money,Terry Pratchett,71745,4.26,33147,Making Money - Terry Pratchett
2824,The Trumpet of the Swan,E.B. White,77960,4.10,33137,The Trumpet of the Swan - E.B. White
2825,Don't Judge a Girl by Her Cover,Ally Carter,72051,4.20,33129,Don't Judge a Girl by Her Cover - Ally Carter
2826,Dance Upon the Air,Nora Roberts,71639,4.21,33116,Dance Upon the Air - Nora Roberts
2827,Wayward Son,Rainbow Rowell,107437,3.91,33077,Wayward Son - Rainbow Rowell
2828,Landline,Rainbow Rowell,167303,3.54,33068,Landline - Rainbow Rowell
2829,The Heart of Betrayal,Mary E. Pearson,81042,4.18,33068,The Heart of Betrayal - Mary E. Pearson
2830,Shadow Me,Tahereh Mafi,101815,4.00,33057,Shadow Me - Tahereh Mafi
2831,The Stationery Shop,Marjan Kamali,79909,4.22,33039,The Stationery Shop - Marjan Kamali
2832,Corelli’s Mandolin,Louis de Bernières,86940,4.02,33024,Corelli’s Mandolin - Louis de Bernières
2833,Intensity,Dean Koontz,85568,4.04,33021,Intensity - Dean Koontz
2834,"Act Your Age, Eve Brown",Talia Hibbert,89249,4.11,33021,"Act Your Age, Eve Brown - Talia Hibbert"
2835,The Call of the Wild / White Fang,Jack London,77475,4.12,33020,The Call of the Wild / White Fang - Jack London
2836,Scott Pilgrim vs. The World,Bryan Lee O'Malley,70038,4.24,32990,Scott Pilgrim vs. The World - Bryan Lee O'Malley
2837,Erak's Ransom,John Flanagan,63985,4.33,32981,Erak's Ransom - John Flanagan
2838,Princeps' Fury,Jim Butcher,64256,4.37,32976,Princeps' Fury - Jim Butcher
2839,"The Sandman, Vol. 6: Fables & Reflections",Neil Gaiman,59230,4.42,32960,"The Sandman, Vol. 6: Fables & Reflections - Neil Gaiman"
2840,Assistant to the Villain,Hannah Nicole Maehrer,99549,3.90,32941,Assistant to the Villain - Hannah Nicole Maehrer
2841,Inkdeath,Cornelia Funke,87891,3.97,32936,Inkdeath - Cornelia Funke
2842,Without Remorse,Tom Clancy,71705,4.21,32921,Without Remorse - Tom Clancy
2843,The Hard Way,Lee Child,83492,4.19,32918,The Hard Way - Lee Child
2844,The Late Show,Michael Connelly,89005,4.11,32875,The Late Show - Michael Connelly
2845,Hunger,Michael  Grant,86928,4.02,32866,Hunger - Michael  Grant
2846,Ice Planet Barbarians,Ruby Dixon,142448,3.64,32849,Ice Planet Barbarians - Ruby Dixon
2847,The Mad Ship,Robin Hobb,67930,4.30,32846,The Mad Ship - Robin Hobb
2848,The Wind Through the Keyhole,Stephen King,84006,4.14,32806,The Wind Through the Keyhole - Stephen King
2849,Once There Were Wolves,Charlotte McConaghy,86705,4.10,32764,Once There Were Wolves - Charlotte McConaghy
2850,The Lunatic Cafe,Laurell K. Hamilton,79128,4.13,32758,The Lunatic Cafe - Laurell K. Hamilton
2851,Tikki Tikki Tembo,Arlene Mosel,64592,4.20,32739,Tikki Tikki Tembo - Arlene Mosel
2852,Hannibal,Thomas  Harris,107437,3.81,32738,Hannibal - Thomas  Harris
2853,Flash Boys: A Wall Street Revolt,Michael   Lewis,84266,4.14,32730,Flash Boys: A Wall Street Revolt - Michael   Lewis
2854,Calamity,Brandon Sanderson,82117,4.18,32723,Calamity - Brandon Sanderson
2855,The Diviners,Libba Bray,98514,3.94,32721,The Diviners - Libba Bray
2856,4th of July,James Patterson,89255,4.10,32678,4th of July - James Patterson
2857,Halt's Peril,John Flanagan,58870,4.39,32672,Halt's Peril - John Flanagan
2858,The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,103468,3.85,32665,The Zombie Survival Guide: Complete Protection from the Living Dead - Max Brooks
2859,Castle of Wizardry,David Eddings,76532,4.17,32657,Castle of Wizardry - David Eddings
2860,Practical Magic,Alice Hoffman,134141,3.73,32628,Practical Magic - Alice Hoffman
2861,Practical Magic,Alice Hoffman,134072,3.73,32612,Practical Magic - Alice Hoffman
2862,The Prison Healer,Lynette Noni,76914,4.20,32607,The Prison Healer - Lynette Noni
2863,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,86388,4.05,32570,The Yellow Wallpaper and Other Stories - Charlotte Perkins Gilman
2864,Papillon,Henri Charrière,70143,4.23,32524,Papillon - Henri Charrière
2865,Rose Madder,Stephen King,114621,3.75,32494,Rose Madder - Stephen King
2866,Gild,Raven Kennedy,152806,3.59,32488,Gild - Raven Kennedy
2867,The Last Coyote,Michael Connelly,76865,4.25,32486,The Last Coyote - Michael Connelly
2868,Exile,Shannon Messenger,53111,4.48,32481,Exile - Shannon Messenger
2869,The Last Coyote,Michael Connelly,76849,4.25,32481,The Last Coyote - Michael Connelly
2870,Kingdom Come,Mark Waid,62650,4.26,32480,Kingdom Come - Mark Waid
2871,Voices from Chernobyl: The Oral History of a Nuclear Disaster,Svetlana Alexievich,57796,4.41,32475,Voices from Chernobyl: The Oral History of a Nuclear Disaster - Svetlana Alexievich
2872,Hinds' Feet on High Places,Hannah Hurnard,56141,4.33,32469,Hinds' Feet on High Places - Hannah Hurnard
2873,I'm Thinking of Ending Things,Iain Reid,157010,3.56,32459,I'm Thinking of Ending Things - Iain Reid
2874,The Maltese Falcon,Dashiell Hammett,107473,3.88,32451,The Maltese Falcon - Dashiell Hammett
2875,The Greatest Salesman in the World,Og Mandino,64393,4.21,32443,The Greatest Salesman in the World - Og Mandino
2876,Reconstructing Amelia,Kimberly McCreight,132659,3.83,32435,Reconstructing Amelia - Kimberly McCreight
2877,The Arrival,Shaun Tan,56838,4.35,32393,The Arrival - Shaun Tan
2878,Holding Up the Universe,Jennifer Niven,130859,3.70,32364,Holding Up the Universe - Jennifer Niven
2879,The Queen of the Tearling,Erika Johansen,95223,3.99,32317,The Queen of the Tearling - Erika Johansen
2880,Silver Shadows,Richelle Mead,61239,4.34,32307,Silver Shadows - Richelle Mead
2881,The Fountains of Silence,Ruta Sepetys,68495,4.31,32299,The Fountains of Silence - Ruta Sepetys
2882,Finger Lickin' Fifteen,Janet Evanovich,90728,4.02,32275,Finger Lickin' Fifteen - Janet Evanovich
2883,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past Life Therapy That Changed Both Their Lives",Brian L. Weiss,66606,4.17,32275,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past Life Therapy That Changed Both Their Lives - Brian L. Weiss"
2884,Fueled,K. Bromberg,52354,4.46,32240,Fueled - K. Bromberg
2885,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,134529,3.65,32205,Reading Lolita in Tehran: A Memoir in Books - Azar Nafisi
2886,Six Crimson Cranes,Elizabeth Lim,77377,4.21,32183,Six Crimson Cranes - Elizabeth Lim
2887,The Brass Verdict,Michael Connelly,82899,4.21,32176,The Brass Verdict - Michael Connelly
2888,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,75300,4.08,32166,The Goal: A Process of Ongoing Improvement - Eliyahu M. Goldratt
2889,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Flora Rheta Schreiber,89521,3.99,32112,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities - Flora Rheta Schreiber
2890,Terrier,Tamora Pierce,68336,4.16,32100,Terrier - Tamora Pierce
2891,Driven,K. Bromberg,61821,4.24,32096,Driven - K. Bromberg
2892,Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison,72151,4.10,32061,Batman: Arkham Asylum - A Serious House on Serious Earth - Grant Morrison
2893,"Stamped: Racism, Antiracism, and You",Jason Reynolds,51567,4.48,32053,"Stamped: Racism, Antiracism, and You - Jason Reynolds"
2894,The Beekeeper's Apprentice,Laurie R. King,83300,4.05,32035,The Beekeeper's Apprentice - Laurie R. King
2895,Notes on an Execution,Danya Kukafka,92101,4.08,32021,Notes on an Execution - Danya Kukafka
2896,Max,James Patterson,74369,4.06,32020,Max - James Patterson
2897,Shopaholic Takes Manhattan,Sophie Kinsella,123529,3.78,32014,Shopaholic Takes Manhattan - Sophie Kinsella
2898,Emperor Mage,Tamora Pierce,63727,4.28,32005,Emperor Mage - Tamora Pierce
2899,The Art of Loving,Erich Fromm,80953,4.01,31998,The Art of Loving - Erich Fromm
2900,Burn for Me,Ilona Andrews,61987,4.31,31995,Burn for Me - Ilona Andrews
2901,Nosotros en la Luna,Alice Kellen,71255,4.14,31991,Nosotros en la Luna - Alice Kellen
2902,Slave to Sensation,Nalini Singh,74652,4.09,31970,Slave to Sensation - Nalini Singh
2903,Child 44,Tom Rob Smith,85581,4.10,31948,Child 44 - Tom Rob Smith
2904,Gender Queer,Maia Kobabe,60591,4.28,31941,Gender Queer - Maia Kobabe
2905,Everything's Eventual,Stephen King,101615,3.97,31918,Everything's Eventual - Stephen King
2906,Hallowed,Cynthia Hand,75162,4.09,31916,Hallowed - Cynthia Hand
2907,Masquerade,Melissa de la Cruz,91064,3.91,31889,Masquerade - Melissa de la Cruz
2908,The Dharma Bums,Jack Kerouac,94844,3.93,31883,The Dharma Bums - Jack Kerouac
2909,The Vanishing Stair,Maureen Johnson,91024,4.15,31859,The Vanishing Stair - Maureen Johnson
2910,Seriously... I'm Kidding,Ellen DeGeneres,109569,3.68,31828,Seriously... I'm Kidding - Ellen DeGeneres
2911,Wither,Lauren DeStefano,99980,3.80,31824,Wither - Lauren DeStefano
2912,"I, Claudius",Robert Graves,66895,4.25,31815,"I, Claudius - Robert Graves"
2913,Nevermoor: The Trials of Morrigan Crow,Jessica Townsend,64733,4.33,31802,Nevermoor: The Trials of Morrigan Crow - Jessica Townsend
2914,Once Burned,Jeaniene Frost,69052,4.19,31800,Once Burned - Jeaniene Frost
2915,Fool's Assassin,Robin Hobb,56244,4.41,31799,Fool's Assassin - Robin Hobb
2916,Echo Burning,Lee Child,94831,4.04,31779,Echo Burning - Lee Child
2917,Gandhi: An Autobiography,Mahatma Gandhi,70791,4.10,31760,Gandhi: An Autobiography - Mahatma Gandhi
2918,At Home: A Short History of Private Life,Bill Bryson,94072,3.99,31740,At Home: A Short History of Private Life - Bill Bryson
2919,Bright Side,Kim Holden,55543,4.30,31737,Bright Side - Kim Holden
2920,The Spy Coast,Tess Gerritsen,62606,4.36,31732,The Spy Coast - Tess Gerritsen
2921,Revival,Stephen King,126714,3.80,31711,Revival - Stephen King
2922,Temple of the Winds,Terry Goodkind,81227,4.03,31704,Temple of the Winds - Terry Goodkind
2923,"The Sandman, Vol. 10: The Wake",Neil Gaiman,50237,4.52,31686,"The Sandman, Vol. 10: The Wake - Neil Gaiman"
2924,Olivia,Ian Falconer,64757,4.15,31678,Olivia - Ian Falconer
2925,The Lady of the Rivers,Philippa Gregory,85109,4.04,31677,The Lady of the Rivers - Philippa Gregory
2926,"No, David!",David Shannon,59884,4.16,31655,"No, David! - David Shannon"
2927,Leviathan,Scott Westerfeld,92321,3.92,31641,Leviathan - Scott Westerfeld
2928,Obsidio,Amie Kaufman,53716,4.46,31631,Obsidio - Amie Kaufman
2929,Academ's Fury,Jim Butcher,70279,4.27,31627,Academ's Fury - Jim Butcher
2930,The Kill Artist,Daniel Silva,83844,4.02,31591,The Kill Artist - Daniel Silva
2931,Down and Out in Paris and London,George Orwell,88498,4.09,31582,Down and Out in Paris and London - George Orwell
2932,If You Give a Moose a Muffin,Laura Numeroff,62601,4.20,31581,If You Give a Moose a Muffin - Laura Numeroff
2933,The Heroes,Joe Abercrombie,62700,4.33,31547,The Heroes - Joe Abercrombie
2934,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,80128,4.05,31543,Beauty: A Retelling of the Story of Beauty and the Beast - Robin McKinley
2935,Prowadź swój pług przez kości umarłych,Olga Tokarczuk,101950,3.96,31535,Prowadź swój pług przez kości umarłych - Olga Tokarczuk
2936,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,101949,3.96,31535,Drive Your Plow Over the Bones of the Dead - Olga Tokarczuk
2937,Twisted Perfection,Abbi Glines,67219,4.23,31526,Twisted Perfection - Abbi Glines
2938,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,101896,3.96,31517,Drive Your Plow Over the Bones of the Dead - Olga Tokarczuk
2939,The Marriage Bargain,Jennifer Probst,111041,3.79,31514,The Marriage Bargain - Jennifer Probst
2940,Tiger's Curse,Colleen Houck,64362,4.05,31512,Tiger's Curse - Colleen Houck
2941,The Jungle Books,Rudyard Kipling,87534,4.01,31506,The Jungle Books - Rudyard Kipling
2942,Black Hawk Down: A Story of Modern War,Mark Bowden,64630,4.30,31490,Black Hawk Down: A Story of Modern War - Mark Bowden
2943,Life,Keith Richards,94142,3.89,31489,Life - Keith Richards
2944,The Once and Future Witches,Alix E. Harrow,83959,4.05,31468,The Once and Future Witches - Alix E. Harrow
2945,Hunting Prince Dracula,Kerri Maniscalco,73528,4.21,31464,Hunting Prince Dracula - Kerri Maniscalco
2946,My Side of the Mountain,Jean Craighead George,77878,4.09,31445,My Side of the Mountain - Jean Craighead George
2947,Fugitive Telemetry,Martha Wells,68352,4.31,31418,Fugitive Telemetry - Martha Wells
2948,Lightlark,Alex Aster,103129,3.81,31397,Lightlark - Alex Aster
2949,Captive Prince,C.S. Pacat,96917,3.80,31372,Captive Prince - C.S. Pacat
2950,Still Missing,Chevy Stevens,91616,4.00,31348,Still Missing - Chevy Stevens
2951,Marina,Carlos Ruiz Zafón,77804,4.12,31347,Marina - Carlos Ruiz Zafón
2952,The Emperor of Nihon-Ja,John Flanagan,54209,4.42,31343,The Emperor of Nihon-Ja - John Flanagan
2953,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,73734,4.17,31306,The Fall of the House of Usher and Other Tales - Edgar Allan Poe
2954,Terre promise,R.A. Salvatore,68069,4.22,31305,Terre promise - R.A. Salvatore
2955,Sojourn,R.A. Salvatore,68059,4.22,31299,Sojourn - R.A. Salvatore
