,Number of Pages,Average Rating
385,72,4.102143
386,48,4.081875
387,2,4.041429
388,246,3.946875
389,349,3.992857
390,566,4.114286
391,592,4.128889
392,382,4.099474
393,685,4.080000
394,906,4.206667
395,124,4.071250
396,385,4.075758
397,574,4.193333
398,430,4.079048
399,95,3.895455
400,139,3.972857
401,649,4.080000
402,333,4.072727
403,206,3.960370
404,202,3.840000
405,370,3.951778
406,578,3.986250
407,820,4.143333
408,407,4.033333
409,1848,4.370000
410,397,4.014667
411,153,3.965000
412,557,4.208571
413,469,4.062308
414,367,3.961471
415,451,3.907059
416,1007,4.470000
417,507,4.112667
418,282,4.007143
419,219,3.974737
420,297,3.904074
421,375,4.055000
422,801,4.110000
423,334,4.089565
424,420,4.045385
425,283,3.865882
426,178,4.006471
427,183,3.968667
428,749,4.030000
429,643,4.178333
430,939,4.260000
431,1139,4.190000
432,532,3.956154
433,958,4.200000
434,447,3.971818
435,523,4.208889
436,409,4.099375
437,527,4.089333
438,1199,4.080000
439,513,4.016250
440,1009,4.160000
441,605,4.265000
442,836,4.058000
443,659,4.047500
444,427,4.122105
445,595,4.106667
446,411,4.135385
447,293,3.898537
448,130,4.010667
449,295,3.928929
450,586,4.058333
451,675,4.270000
452,423,4.034286
453,850,4.400000
454,980,4.565000
455,1443,4.260000
456,870,4.300000
457,207,4.044667
458,628,4.060000
459,271,3.962381
460,510,4.210000
461,767,4.120000
462,286,4.007353
463,607,4.233333
464,600,3.932000
465,884,3.962500
466,147,4.008750
467,1148,4.290000
468,274,3.989744
469,174,4.028571
470,479,4.078182
471,157,4.062000
472,221,3.879545
473,369,4.024500
474,956,4.290000
475,402,3.980000
476,497,4.091818
477,732,4.276000
478,458,3.994286
479,693,3.920000
480,466,4.033750
481,361,3.993333
482,200,3.984878
483,1207,4.100000
484,468,4.013043
485,212,4.008148
486,500,4.046364
487,501,4.160625
488,491,4.122222
489,179,4.008947
490,606,4.176667
491,485,3.873333
492,811,4.155000
493,711,3.910000
494,721,4.040000
495,1056,4.100000
496,667,4.210000
497,622,4.284286
498,412,3.973000
499,1080,4.300000
500,937,4.190000
501,1024,4.146000
502,1240,4.210000
503,710,4.073333
504,561,4.011250
505,414,3.963636
506,428,4.089091
507,1181,4.210000
508,442,4.116000
509,125,3.743636
510,169,4.007778
511,121,3.828750
512,253,3.835217
513,393,3.963158
514,424,4.101111
515,481,4.137778
516,1232,4.435000
517,380,4.062308
518,612,4.264000
519,835,4.440000
520,1060,4.160000
521,280,3.930000
522,281,4.050385
523,40,4.068929
524,581,4.200000
525,284,3.875000
526,860,4.232500
527,880,4.128750
528,780,3.950000
529,596,4.116250
530,319,4.002414
531,1006,3.860000
532,444,3.912857
533,446,4.100667
534,462,4.125000
535,425,3.923077
536,135,3.820000
537,126,3.878235
538,290,3.925208
539,140,3.931765
540,136,4.008571
541,478,4.249091
542,215,3.985714
543,577,4.020000
544,537,4.076000
545,647,4.282000
546,832,4.175714
547,1344,4.400000
548,355,3.997838
549,265,3.900000
550,364,3.995000
551,167,3.808571
552,550,4.026667
553,322,4.000556
554,149,3.872222
555,415,4.021176
556,456,4.027500
557,726,3.770000
558,490,4.031818
559,582,3.942000
560,1110,4.015000
561,357,4.017407
562,718,4.170000
563,722,4.056667
564,818,4.240000
565,518,4.001111
566,390,4.052200
567,624,4.122432
568,441,4.109286
569,569,4.210000
570,656,4.100476
571,191,3.892105
572,410,4.024444
573,476,4.088889
574,236,3.925000
575,633,4.047500
576,983,4.060000
577,558,4.114444
578,131,3.840000
579,679,4.260000
580,365,3.968261
581,104,4.070667
582,186,3.957273
583,534,4.264000
584,597,4.146250
585,143,3.884000
586,459,4.167000
587,583,4.136667
588,747,4.110000
589,517,4.113333
590,59,4.156000
591,109,3.764286
592,97,4.390000
593,565,4.163333
594,654,3.787500
595,1041,3.660000
596,785,4.030000
597,1090,4.240000
598,86,3.890000
599,1037,4.310000
600,113,3.807500
601,112,3.802174
602,433,4.147059
603,839,4.385000
604,4211,4.350000
605,619,4.095000
606,957,4.390000
607,394,4.056897
608,754,4.190000
609,646,4.212500
610,57,4.110000
611,129,3.862857
612,1312,4.105000
613,645,4.212500
614,38,4.155000
615,567,4.031250
616,990,4.175000
617,1273,4.110000
618,1137,4.215000
619,618,4.100000
620,992,4.330000
621,579,4.020000
622,14,3.830000
623,429,4.141818
624,15,4.175000
625,345,3.987000
626,330,3.906400
627,262,3.968780
628,703,4.165714
629,58,4.067500
630,486,4.129333
631,312,3.973667
632,421,4.052083
633,151,3.988125
634,377,3.993000
635,1072,4.230000
636,821,4.390000
637,123,3.926250
638,756,3.978000
639,239,4.044118
640,1463,4.140000
641,6576,4.760000
642,315,3.979630
643,1456,4.810000
644,193,4.041111
645,363,4.032667
646,1076,4.005000
647,116,3.940000
648,381,4.081818
649,493,4.012857
650,568,4.003333
651,470,4.057083
652,530,4.125556
653,660,4.370000
654,598,4.160000
655,644,3.846667
656,84,4.194000
657,784,4.116000
658,1083,4.200000
659,828,3.813333
660,900,4.500000
661,392,4.036579
662,778,3.870000
663,332,4.050645
664,559,4.112500
665,933,4.400000
666,492,4.004286
667,701,4.090000
668,551,4.115000
669,764,4.215000
670,573,3.953333
671,1017,4.020000
672,1021,4.190000
673,457,4.025714
674,774,4.075000
675,413,3.987333
676,684,4.225000
677,575,3.995000
678,946,4.315000
679,564,4.058750
680,134,3.882000
681,658,4.150000
682,794,4.284000
683,325,3.860750
684,936,4.288000
685,720,4.140000
686,161,4.080000
687,590,4.272857
688,535,4.118462
689,102,3.930000
690,552,4.102222
691,914,4.210000
692,1011,4.180000
693,705,4.325000
694,580,4.102000
695,406,4.008947
696,661,4.263333
697,630,4.098000
698,629,4.093000
699,571,4.110000
700,1173,4.020000
701,110,3.604615
702,922,3.880000
703,702,4.123333
704,5,4.183333
705,6,3.870000
706,741,3.960000
707,772,4.270000
708,816,4.272500
709,555,4.055000
710,177,3.968824
711,549,4.044286
712,894,4.290000
713,599,4.010000
714,868,4.270000
715,1042,4.420000
716,657,4.476667
717,9,4.146667
718,570,3.936000
719,587,3.957500
720,748,4.020000
721,2480,4.290000
722,681,4.048750
723,2934,4.530000
724,856,4.335000
725,1635,4.290000
726,760,3.555000
727,789,4.210000
728,1223,4.130000
729,1008,4.114000
730,768,4.140000
731,808,4.191667
732,85,4.264000
733,803,4.336667
734,1204,4.390000
735,108,3.601765
736,1281,4.500000
737,484,4.175000
738,509,4.115833
739,1272,4.690000
740,1474,4.120000
741,66,3.865000
742,863,4.273333
743,909,3.990000
744,114,3.885000
745,615,3.882000
746,91,3.791250
747,670,4.205000
748,1015,4.340000
749,666,4.090000
750,604,4.361667
751,531,4.066923
752,805,4.255000
753,636,4.123333
754,882,4.210000
755,251,4.010000
756,539,4.262000
757,100,3.912778
758,977,4.360000
759,746,4.275000
760,62,4.431538
761,154,3.902500
762,827,4.440000
763,1177,4.540000
764,786,4.225000
765,1128,4.210000
766,155,3.989091
767,3403,4.340000
768,691,4.260000
769,881,4.165000
770,1030,4.240000
771,638,4.125000
772,81,3.982000
773,2114,4.370000
774,712,4.335000
775,876,4.210000
776,2546,4.310000
777,825,4.320000
778,782,3.945000
779,735,3.895000
780,766,4.210000
781,613,3.991429
782,443,4.155385
783,1408,4.420000
784,584,4.005000
785,674,3.984000
786,87,4.022500
787,90,3.918333
788,924,4.340000
789,494,4.269000
790,614,4.144000
791,616,4.335000
792,93,4.011667
793,1,4.148571
794,1167,4.400000
795,52,4.355714
796,171,3.868750
797,1492,4.430000
798,706,4.232000
799,730,4.110000
800,864,4.213333
801,694,4.140000
802,585,3.990000
803,146,3.808333
804,651,4.255000
805,538,3.990000
806,94,3.980000
807,1332,4.450000
808,89,4.220000
809,1049,4.030000
810,631,4.090000
811,502,4.047692
812,50,4.020000
813,516,4.091333
814,103,4.141000
815,1468,4.780000
816,695,4.090000
817,1500,4.690000
818,70,4.155000
819,975,3.750000
820,970,4.470000
821,872,4.090000
822,602,4.000000
823,676,4.090000
824,68,4.164545
825,689,4.392500
826,790,4.190000
827,508,4.136667
828,791,4.140000
829,846,4.465000
830,543,4.141667
831,2700,4.350000
832,1394,4.540000
833,908,4.330000
834,150,3.852500
835,44,4.233000
836,851,4.050000
837,536,4.034000
838,1150,4.300000
839,696,4.190000
840,819,3.970000
841,930,3.950000
842,28,4.140000
843,759,4.620000
844,740,4.102500
845,3,4.116667
846,739,4.200000
847,626,4.544000
848,79,4.090000
849,83,3.990000
850,944,4.083333
851,46,4.258333
852,521,4.130000
853,886,4.510000
854,2339,4.370000
855,1087,4.450000
856,812,3.800000
857,713,4.290000
858,943,3.900000
859,950,4.170000
860,928,4.415000
861,824,4.268000
862,36,4.233333
863,925,4.292500
864,24,4.132105
865,1160,3.810000
866,1028,4.390000
867,54,4.010000
868,662,4.180000
869,1796,4.500000
870,23,4.173333
871,2432,4.340000
872,4272,4.480000
873,775,3.925000
874,897,4.200000
875,974,4.240000
876,1184,4.395000
877,609,4.172000
878,61,4.235000
879,822,4.030000
880,505,3.978333
881,591,4.342000
882,1424,4.250000
883,2400,4.640000
884,65,4.125000
885,73,4.300000
886,101,4.226667
887,1213,4.610000
888,717,3.855000
889,92,3.810000
890,20,4.405000
891,2580,4.220000
892,899,4.310000
893,817,3.940000
894,111,3.967500
895,859,3.960000
896,545,4.145000
897,473,4.090909
898,620,4.076667
899,844,4.160000
900,834,4.275000
901,1376,4.270000
902,655,4.146667
903,678,4.160000
904,34,4.290000
905,1400,4.350000
906,664,4.356250
907,728,4.530000
908,63,4.094000
909,1033,4.160000
910,1200,3.970000
911,1203,4.480000
912,477,4.173333
913,1147,4.355000
914,673,4.210000
915,16,4.210000
916,988,4.230000
917,1774,4.190000
918,1534,3.390000
919,986,4.640000
920,888,4.440000
921,1044,4.110000
922,2624,4.210000
923,1229,4.480000
924,833,2.970000
925,3420,4.450000
926,18,4.152500
927,830,4.160000
928,742,4.090000
929,133,4.145000
930,869,3.450000
931,663,4.258333
932,524,4.316667
933,1690,3.810000
934,7,3.710000
935,1310,4.350000
936,74,4.312000
937,724,4.475000
938,788,3.870000
939,1145,4.440000
940,787,4.020000
941,4100,4.740000
942,31,3.955000
943,737,4.315000
944,41,4.240000
945,962,4.370000
946,2057,4.690000
947,71,4.177500
948,3033,4.620000
949,47,3.813333
950,942,4.195000
951,1452,4.665000
952,838,3.640000
953,792,4.185000
954,810,3.040000
955,994,4.550000
956,1046,4.550000
957,861,3.850000
958,799,4.160000
959,878,4.180000
960,904,4.480000
961,8,4.150000
962,853,4.170000
963,1844,4.580000
964,12,4.145000
965,1590,4.440000
966,1093,4.370000
967,45,4.136667
968,1345,4.340000
969,892,4.070000
970,1536,4.540000
971,699,4.190000
972,1600,4.575000
973,840,4.350000
974,1952,4.410000
975,39,4.370000
976,1218,3.790000
977,1620,4.530000
978,682,4.417500
979,1032,4.460000
980,30,4.000000
981,677,3.810000
982,1342,4.340000
983,8245,4.370000
984,2424,4.530000
985,27,3.640000
986,984,4.406667
987,1280,4.300000
988,553,4.070000
989,2078,4.440000
990,29,4.140000
991,982,4.200000
992,2752,4.535000
993,1243,4.580000
994,1027,4.460000
995,2500,4.300000
996,1074,3.920000
997,697,4.520000
998,42,4.150000
999,1744,4.515000
1000,1520,4.605000
1001,43,4.363333
1002,11,3.420000
1003,2176,4.590000
1004,10,3.975000
1005,669,4.065000
1006,953,4.500000
1007,665,4.210000
1008,926,4.370000
1009,985,4.310000
1010,1165,4.260000
1011,22,4.350000
1012,1737,4.720000
1013,13,4.210000
1014,849,4.245000
1015,1166,3.400000
1016,1531,4.470000
1017,2940,4.410000
1018,1155,4.490000
1019,1427,4.190000
1020,862,4.180000
1021,921,4.510000
1022,687,4.830000
1023,4081,4.620000
1024,2184,4.390000
1025,795,4.285000
1026,1125,4.340000
1027,2912,4.540000
1028,932,4.510000
1029,1025,4.440000
1030,842,4.550000
1031,1214,4.560000
1032,945,4.720000
1033,5216,4.600000
1034,3914,4.620000
1035,2688,4.530000
1036,757,4.303333
1037,940,4.370000
1038,991,4.160000
1039,37,4.420000
1040,1792,4.060000
1041,893,4.330000
1042,1859,4.110000
1043,2496,4.570000
1044,964,4.090000
1045,2032,4.630000
1046,1242,4.360000
1047,641,4.290000
1048,771,3.950000
1049,621,4.120000
1050,49,4.003333
1051,6680,4.610000
1052,19,3.635000
1053,1252,3.860000
1054,758,4.400000
1055,8258,4.740000
1056,1390,4.240000
1057,1327,4.570000
1058,837,3.800000
1059,3248,4.530000
1060,634,4.100000
1061,765,4.490000
1062,1813,4.330000
1063,1196,4.660000
1064,53,4.015000
1065,875,4.310000
1066,866,4.110000
1067,847,4.650000
1068,889,4.390000
1069,33,4.330000
1070,1799,4.780000
1071,17,4.270000
1072,887,4.440000
1073,25,4.490000
1074,2050,4.740000
1075,1026,4.510000
1076,938,4.530000
1077,2079,4.710000
1078,1219,4.620000
1079,913,4.390000
1080,802,4.080000
1081,1260,4.650000
1082,934,4.450000
